Unnamed: 0,is_pick,hero_id,team,order,ord,match_id,radiant_win,id,localized_name
4,True,53,1,4,4,5573128312,True,53,Nature's Prophet
4,True,53,1,4,4,5573126441,False,53,Nature's Prophet
8,False,53,1,8,8,5573166707,False,53,Nature's Prophet
6,True,53,0,6,6,5573160660,False,53,Nature's Prophet
16,True,53,1,16,16,5573199734,False,53,Nature's Prophet
3,False,53,1,3,3,5573222898,True,53,Nature's Prophet
4,True,53,1,4,4,5573201708,True,53,Nature's Prophet
16,True,53,1,16,16,5573266224,False,53,Nature's Prophet
12,False,53,0,12,12,5573246519,True,53,Nature's Prophet
2,False,53,0,2,2,5573253150,True,53,Nature's Prophet
14,True,53,0,14,14,5573298613,True,53,Nature's Prophet
0,False,53,0,0,0,5573315607,True,53,Nature's Prophet
7,True,53,1,7,7,5573342435,True,53,Nature's Prophet
4,True,53,1,4,4,5573441690,True,53,Nature's Prophet
20,False,53,1,20,20,5573454371,False,53,Nature's Prophet
11,False,53,1,11,11,5573464842,True,53,Nature's Prophet
7,True,53,0,7,7,5573623714,False,53,Nature's Prophet
6,True,53,0,6,6,5573621575,True,53,Nature's Prophet
6,True,53,1,6,6,5573719228,False,53,Nature's Prophet
1,False,53,1,1,1,5573882305,True,53,Nature's Prophet
1,False,53,0,1,1,5573966581,False,53,Nature's Prophet
11,False,53,1,11,11,5574107095,False,53,Nature's Prophet
11,False,53,1,11,11,5574108974,False,53,Nature's Prophet
5,True,53,0,5,5,5574180851,False,53,Nature's Prophet
3,False,53,1,3,3,5574182866,True,53,Nature's Prophet
5,True,53,0,5,5,5574246088,True,53,Nature's Prophet
12,False,53,0,12,12,5574352490,True,53,Nature's Prophet
3,False,53,1,3,3,5574364907,True,53,Nature's Prophet
15,True,53,0,15,15,5574427463,True,53,Nature's Prophet
5,True,53,1,5,5,5574594320,True,53,Nature's Prophet
22,True,53,0,22,22,5574661081,True,53,Nature's Prophet
10,False,53,1,10,10,5574678296,True,53,Nature's Prophet
2,False,53,0,2,2,5574721233,False,53,Nature's Prophet
16,True,53,0,16,16,5574751939,True,53,Nature's Prophet
5,True,53,1,5,5,5574787025,True,53,Nature's Prophet
5,True,53,0,5,5,5574816796,False,53,Nature's Prophet
19,False,53,0,19,19,5574785532,True,53,Nature's Prophet
16,True,53,0,16,16,5574844973,False,53,Nature's Prophet
4,True,53,1,4,4,5574844217,True,53,Nature's Prophet
8,False,53,1,8,8,5574864989,False,53,Nature's Prophet
5,True,53,0,5,5,5574903044,True,53,Nature's Prophet
23,True,53,0,23,23,5574889663,True,53,Nature's Prophet
19,False,53,0,19,19,5575082863,False,53,Nature's Prophet
10,False,53,0,10,10,5575037590,False,53,Nature's Prophet
16,True,53,1,16,16,5575006389,True,53,Nature's Prophet
8,False,53,1,8,8,5575197423,True,53,Nature's Prophet
10,False,53,1,10,10,5575353308,False,53,Nature's Prophet
6,True,53,0,6,6,5575534509,True,53,Nature's Prophet
1,False,53,0,1,1,5575846005,True,53,Nature's Prophet
4,True,53,1,4,4,5575764598,False,53,Nature's Prophet
4,True,53,0,4,4,5575691083,False,53,Nature's Prophet
16,True,53,0,16,16,5575462161,True,53,Nature's Prophet
8,False,53,1,8,8,5575636013,True,53,Nature's Prophet
4,True,53,0,4,4,5575898169,True,53,Nature's Prophet
5,True,53,0,5,5,5575930694,True,53,Nature's Prophet
18,False,53,1,18,18,5575988327,False,53,Nature's Prophet
6,True,53,0,6,6,5576023663,False,53,Nature's Prophet
7,True,53,1,7,7,5576055737,False,53,Nature's Prophet
12,False,53,1,12,12,5576124762,True,53,Nature's Prophet
0,False,53,0,0,0,5576150624,True,53,Nature's Prophet
21,False,53,1,21,21,5576136610,False,53,Nature's Prophet
6,True,53,0,6,6,5576180202,False,53,Nature's Prophet
14,True,53,0,14,14,5576215849,False,53,Nature's Prophet
5,True,53,1,5,5,5576210319,False,53,Nature's Prophet
7,True,53,1,7,7,5576253489,False,53,Nature's Prophet
5,True,53,0,5,5,5576291151,False,53,Nature's Prophet
6,True,53,1,6,6,5576324281,False,53,Nature's Prophet
14,True,53,0,14,14,5576318371,True,53,Nature's Prophet
12,False,53,1,12,12,5576382091,False,53,Nature's Prophet
2,False,53,1,2,2,5576391448,True,53,Nature's Prophet
16,True,53,0,16,16,5576462043,False,53,Nature's Prophet
5,True,53,0,5,5,5576509211,True,53,Nature's Prophet
6,True,53,1,6,6,5576501091,True,53,Nature's Prophet
17,True,53,1,17,17,5576568827,False,53,Nature's Prophet
23,True,53,1,23,23,5576596427,False,53,Nature's Prophet
18,False,53,0,18,18,5576933465,True,53,Nature's Prophet
0,False,53,0,0,0,5576988121,True,53,Nature's Prophet
16,True,53,1,16,16,5577026767,True,53,Nature's Prophet
12,False,53,1,12,12,5577074753,False,53,Nature's Prophet
22,True,53,0,22,22,5577117359,False,53,Nature's Prophet
0,False,53,1,0,0,5577087660,True,53,Nature's Prophet
0,False,53,0,0,0,5577156975,False,53,Nature's Prophet
1,False,53,1,1,1,5577229894,True,53,Nature's Prophet
7,True,53,1,7,7,5577247018,True,53,Nature's Prophet
16,True,53,0,16,16,5577289071,False,53,Nature's Prophet
2,False,53,1,2,2,5577318069,True,53,Nature's Prophet
2,False,53,1,2,2,5577357467,True,53,Nature's Prophet
3,False,53,1,3,3,5577393373,False,53,Nature's Prophet
2,False,53,0,2,2,5577422172,False,53,Nature's Prophet
3,False,53,1,3,3,5577427589,False,53,Nature's Prophet
7,True,53,0,7,7,5577463934,True,53,Nature's Prophet
6,True,53,0,6,6,5577464901,True,53,Nature's Prophet
10,False,53,1,10,10,5577501745,True,53,Nature's Prophet
7,True,53,0,7,7,5577539202,True,53,Nature's Prophet
11,False,53,0,11,11,5577560341,True,53,Nature's Prophet
16,True,53,0,16,16,5577580311,False,53,Nature's Prophet
13,False,53,1,13,13,5577597803,False,53,Nature's Prophet
4,True,53,0,4,4,5577607162,False,53,Nature's Prophet
20,False,53,1,20,20,5577623881,False,53,Nature's Prophet
14,True,53,0,14,14,5577667740,False,53,Nature's Prophet
14,True,53,0,14,14,5577661815,False,53,Nature's Prophet
0,False,53,1,0,0,5577662049,False,53,Nature's Prophet
15,True,53,0,15,15,5577618142,False,53,Nature's Prophet
7,True,53,0,7,7,5577703196,True,53,Nature's Prophet
1,False,53,0,1,1,5577719311,True,53,Nature's Prophet
9,False,53,1,9,9,5577816250,False,53,Nature's Prophet
12,False,53,0,12,12,5577792393,False,53,Nature's Prophet
23,True,53,0,23,23,5577866550,False,53,Nature's Prophet
11,False,53,1,11,11,5577984682,False,53,Nature's Prophet
9,False,53,1,9,9,5577968977,True,53,Nature's Prophet
23,True,53,0,23,23,5578061331,False,53,Nature's Prophet
22,True,53,1,22,22,5578070661,True,53,Nature's Prophet
6,True,53,1,6,6,5578333805,False,53,Nature's Prophet
15,True,53,0,15,15,5578443150,False,53,Nature's Prophet
4,True,53,1,4,4,5578434239,True,53,Nature's Prophet
6,True,53,0,6,6,5578520818,False,53,Nature's Prophet
3,False,53,0,3,3,5578565061,False,53,Nature's Prophet
4,True,53,1,4,4,5578626608,False,53,Nature's Prophet
3,False,53,1,3,3,5578711013,True,53,Nature's Prophet
12,False,53,1,12,12,5578725135,False,53,Nature's Prophet
3,False,53,0,3,3,5578710167,True,53,Nature's Prophet
0,False,53,1,0,0,5578761415,True,53,Nature's Prophet
6,True,53,0,6,6,5578735192,True,53,Nature's Prophet
16,True,53,0,16,16,5578759207,False,53,Nature's Prophet
2,False,53,0,2,2,5578794176,True,53,Nature's Prophet
7,True,53,0,7,7,5578807853,True,53,Nature's Prophet
4,True,53,1,4,4,5578848572,False,53,Nature's Prophet
0,False,53,0,0,0,5578896237,True,53,Nature's Prophet
14,True,53,0,14,14,5578956632,False,53,Nature's Prophet
7,True,53,0,7,7,5578990490,True,53,Nature's Prophet
1,False,53,0,1,1,5578948087,False,53,Nature's Prophet
1,False,53,0,1,1,5579001949,True,53,Nature's Prophet
0,False,53,1,0,0,5578995588,False,53,Nature's Prophet
16,True,53,0,16,16,5579028495,False,53,Nature's Prophet
4,True,53,1,4,4,5579061123,False,53,Nature's Prophet
1,False,53,0,1,1,5579065993,True,53,Nature's Prophet
0,False,53,0,0,0,5579110778,False,53,Nature's Prophet
21,False,53,0,21,21,5579221633,False,53,Nature's Prophet
16,True,53,0,16,16,5579235066,False,53,Nature's Prophet
6,True,53,1,6,6,5579339970,False,53,Nature's Prophet
17,True,53,0,17,17,5579498910,True,53,Nature's Prophet
15,True,53,0,15,15,5579565068,True,53,Nature's Prophet
7,True,53,1,7,7,5579993644,False,53,Nature's Prophet
0,False,53,0,0,0,5580059347,True,53,Nature's Prophet
1,False,53,0,1,1,5580140087,False,53,Nature's Prophet
2,False,53,0,2,2,5580177450,False,53,Nature's Prophet
1,False,53,1,1,1,5580224836,True,53,Nature's Prophet
3,False,53,0,3,3,5580248174,False,53,Nature's Prophet
3,False,53,1,3,3,5580319723,True,53,Nature's Prophet
5,True,53,0,5,5,5580406999,True,53,Nature's Prophet
0,False,53,0,0,0,5580386914,False,53,Nature's Prophet
4,True,53,0,4,4,5580415400,True,53,Nature's Prophet
4,True,53,0,4,4,5580466940,True,53,Nature's Prophet
5,True,53,1,5,5,5580513286,True,53,Nature's Prophet
5,True,53,1,5,5,5580554034,False,53,Nature's Prophet
7,True,53,0,7,7,5580597003,False,53,Nature's Prophet
8,False,53,1,8,8,5580647543,False,53,Nature's Prophet
5,True,53,1,5,5,5580717276,False,53,Nature's Prophet
22,True,53,1,22,22,5580794114,True,53,Nature's Prophet
22,True,53,0,22,22,5580791051,True,53,Nature's Prophet
0,False,53,1,0,0,5580879133,False,53,Nature's Prophet
1,False,53,0,1,1,5580970109,True,53,Nature's Prophet
